feature,coefficient,best_alpha,train_r2,test_r2
game_age_days,0.00165904260275022,0.004471462359155796,0.39307831631693346,0.4399055923207579
dlc_count,-0.00023031140557345104,0.004471462359155796,0.39307831631693346,0.4399055923207579
achievements,-0.0,0.004471462359155796,0.39307831631693346,0.4399055923207579
n_genres,0.00016400884968329014,0.004471462359155796,0.39307831631693346,0.4399055923207579
n_tags,0.015258704190183157,0.004471462359155796,0.39307831631693346,0.4399055923207579
metacritic_score,0.06985654797526081,0.004471462359155796,0.39307831631693346,0.4399055923207579
no_sup_lang,-0.0,0.004471462359155796,0.39307831631693346,0.4399055923207579
n_full_audio_lang,-0.001054383699104708,0.004471462359155796,0.39307831631693346,0.4399055923207579
price,-0.0071209561181312785,0.004471462359155796,0.39307831631693346,0.4399055923207579
violence_score,0.0031149951528454817,0.004471462359155796,0.39307831631693346,0.4399055923207579
